file,column,data_type,missing_count,missing_percent,unique_values
big_startup_secsees_dataset.csv,permalink,str,0,0.0,66368
big_startup_secsees_dataset.csv,name,str,1,0.0,66102
big_startup_secsees_dataset.csv,homepage_url,str,5058,7.62,61191
big_startup_secsees_dataset.csv,category_list,str,3148,4.74,27296
big_startup_secsees_dataset.csv,funding_total_usd,str,0,0.0,18896
big_startup_secsees_dataset.csv,status,str,0,0.0,4
big_startup_secsees_dataset.csv,country_code,str,6958,10.48,137
big_startup_secsees_dataset.csv,state_code,str,8547,12.88,311
big_startup_secsees_dataset.csv,region,str,8030,12.1,1092
big_startup_secsees_dataset.csv,city,str,8028,12.1,5111
big_startup_secsees_dataset.csv,funding_rounds,int64,0,0.0,19
big_startup_secsees_dataset.csv,founded_at,str,15221,22.93,3978
big_startup_secsees_dataset.csv,first_funding_at,str,24,0.04,4817
big_startup_secsees_dataset.csv,last_funding_at,str,0,0.0,4518
Startup Failure (Finance and Insurance).csv,Name,str,0,0.0,47
Startup Failure (Finance and Insurance).csv,Sector,str,0,0.0,1
Startup Failure (Finance and Insurance).csv,Years of Operation,str,0,0.0,40
Startup Failure (Finance and Insurance).csv,What They Did,str,0,0.0,45
Startup Failure (Finance and Insurance).csv,How Much They Raised,str,0,0.0,39
Startup Failure (Finance and Insurance).csv,Why They Failed,str,0,0.0,46
Startup Failure (Finance and Insurance).csv,Takeaway,str,0,0.0,46
Startup Failure (Finance and Insurance).csv,Giants,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,No Budget,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Competition,int64,0,0.0,1
Startup Failure (Finance and Insurance).csv,Poor Market Fit,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Acquisition Stagnation,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Platform Dependency,int64,0,0.0,1
Startup Failure (Finance and Insurance).csv,Monetization Failure,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Niche Limits,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Execution Flaws,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Trend Shifts,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Toxicity/Trust Issues,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Regulatory Pressure,int64,0,0.0,2
Startup Failure (Finance and Insurance).csv,Overhype,float64,1,2.13,2
Startup Failure (Food and services).csv,Name,str,0,0.0,26
Startup Failure (Food and services).csv,Sector,str,0,0.0,1
Startup Failure (Food and services).csv,Years of Operation,str,0,0.0,18
Startup Failure (Food and services).csv,What They Did,str,0,0.0,25
Startup Failure (Food and services).csv,How Much They Raised,str,0,0.0,21
Startup Failure (Food and services).csv,Why They Failed,str,0,0.0,25
Startup Failure (Food and services).csv,Takeaway,str,0,0.0,25
Startup Failure (Food and services).csv,Giants,int64,0,0.0,2
Startup Failure (Food and services).csv,No Budget,int64,0,0.0,2
Startup Failure (Food and services).csv,Competition,int64,0,0.0,2
Startup Failure (Food and services).csv,Poor Market Fit,int64,0,0.0,2
Startup Failure (Food and services).csv,Acquisition Stagnation,int64,0,0.0,2
Startup Failure (Food and services).csv,High Operational Costs,int64,0,0.0,2
Startup Failure (Food and services).csv,Monetization Failure,int64,0,0.0,2
Startup Failure (Food and services).csv,Niche Limits,int64,0,0.0,2
Startup Failure (Food and services).csv,Execution Flaws,int64,0,0.0,2
Startup Failure (Food and services).csv,Trend Shifts,int64,0,0.0,2
Startup Failure (Health Care).csv,Name,str,0,0.0,60
Startup Failure (Health Care).csv,Sector,str,0,0.0,1
Startup Failure (Health Care).csv,Years of Operation,str,0,0.0,40
Startup Failure (Health Care).csv,What They Did,str,0,0.0,59
Startup Failure (Health Care).csv,How Much They Raised,str,0,0.0,53
Startup Failure (Health Care).csv,Why They Failed,str,0,0.0,60
Startup Failure (Health Care).csv,Takeaway,str,0,0.0,59
Startup Failure (Health Care).csv,Giants,int64,0,0.0,2
Startup Failure (Health Care).csv,No Budget,int64,0,0.0,2
Startup Failure (Health Care).csv,Competition,int64,0,0.0,2
Startup Failure (Health Care).csv,Poor Market Fit,int64,0,0.0,2
Startup Failure (Health Care).csv,Acquisition Stagnation,int64,0,0.0,2
Startup Failure (Health Care).csv,Platform Dependency,int64,0,0.0,1
Startup Failure (Health Care).csv,Monetization Failure,int64,0,0.0,2
Startup Failure (Health Care).csv,Niche Limits,int64,0,0.0,2
Startup Failure (Health Care).csv,Execution Flaws,int64,0,0.0,2
Startup Failure (Health Care).csv,Trend Shifts,int64,0,0.0,2
Startup Failure (Health Care).csv,Toxicity/Trust Issues,int64,0,0.0,2
Startup Failure (Health Care).csv,Regulatory Pressure,int64,0,0.0,2
