dataset,variable,lower_bound,upper_bound,outlier_count,non_missing_count,outlier_share_pct
Crunchbase,funding_total_usd,-14160941.25,24496564.75,7384,53583,13.780490080809212
Crunchbase,funding_rounds,-0.5,3.5,5937,66368,8.94557618129219
Crunchbase,company_age_years,-7.5,20.5,2379,51141,4.651844899395788
Crunchbase,funding_delay_months,-55.849999999999994,111.75,4693,47360,9.90920608108108
Crunchbase,funding_span_months,-20.549999999999997,34.25,7998,66342,12.055711314099666
Failure,funding_raised_usd,-167500000.0,292500000.0,55,408,13.480392156862745
Failure,operating_years,-2.5,17.5,3,409,0.7334963325183375
Failure,failure_factor_count,0.5,4.5,14,409,3.4229828850855744
Startup metrics,mrr_usd,-21086.39125,48191.67875000001,7,200,3.5
Startup metrics,cac_usd,83.61625000000004,616.46625,3,200,1.5
Startup metrics,ltv_usd,-729.1375,2767.9225,1,200,0.5
Startup metrics,ltv_cac_ratio,-1.53375,7.23625,0,200,0.0
Startup metrics,monthly_burn_usd,3049.253749999996,46108.32375,0,200,0.0
Startup metrics,cash_in_bank_usd,-145394.27750000003,459337.80250000005,0,200,0.0
Startup metrics,runway_months,-5.2,18.200000000000003,6,200,3.0
