peer_cohort,peer_funding_records,peer_funding_q1_usd,peer_median_funding_usd,peer_funding_q3_usd,peer_operating_share_pct,peer_closed_share_pct,peer_observed_exit_share_pct,peer_observed_exit_median_funding_usd
Advertising | GBR | 2005-2009,36,1277216.75,8300000.0,14192900.25,77.77777777777779,5.555555555555555,16.666666666666664,21220893.0103523
Advertising | USA | 2000-2004,109,5000000.0,17550000.0,39674923.0,60.550458715596335,8.256880733944955,31.19266055045872,17768471.5
Advertising | USA | 2005-2009,438,1400000.0,8700000.0,26750000.0,58.9041095890411,9.817351598173515,31.27853881278539,13988210.0
Advertising | USA | 2010-2014,525,340000.0,1350000.0,5000000.0,84.0,6.857142857142858,9.142857142857142,1925000.0
Advertising | USA | Before 2000,62,5641875.0,20675000.0,39500000.0,58.06451612903226,3.225806451612903,38.70967741935484,20042156.0
Analytics | USA | 2000-2004,73,6890927.0,21700000.0,44368583.0,71.23287671232876,4.10958904109589,24.65753424657534,23142412.5
Analytics | USA | 2005-2009,198,2993739.0,10800000.0,31300000.0,68.68686868686868,4.545454545454546,26.767676767676768,14777360.0
Analytics | USA | 2010-2014,525,637500.0,2250000.0,9000000.0,88.0,2.4761904761904763,9.523809523809524,2364999.5
Analytics | USA | Before 2000,43,7875000.0,15000000.0,35000000.0,55.81395348837209,2.3255813953488373,41.86046511627907,20571647.5
Android | USA | 2005-2009,65,1400000.0,5692160.0,18533749.0,63.07692307692307,9.230769230769232,27.692307692307693,9148500.0
Android | USA | 2010-2014,161,154000.0,1000000.0,4500000.0,86.95652173913044,6.211180124223603,6.832298136645963,1800000.0
Apps | USA | 2005-2009,63,730000.0,4000000.0,12000000.0,65.07936507936508,11.11111111111111,23.809523809523807,10500003.0
Apps | USA | 2010-2014,364,250000.0,1020499.5,2600000.0,90.38461538461539,3.571428571428571,6.043956043956044,1450000.0
Automotive | USA | 2005-2009,49,510000.0,2400000.0,13600000.0,75.51020408163265,6.122448979591836,18.367346938775512,12000000.0
Automotive | USA | 2010-2014,87,195000.0,915000.0,5125000.0,89.65517241379311,4.597701149425287,5.747126436781609,6000000.0
Big Data | USA | 2010-2014,175,587500.0,2500000.0,8950000.0,92.0,1.7142857142857144,6.2857142857142865,2500000.0
Biotechnology | GBR | 2000-2004,33,2929258.0,7569850.0,21641253.0,60.60606060606061,12.121212121212121,27.27272727272727,20320961.3976074
Biotechnology | GBR | 2005-2009,41,1900000.0,7600000.0,50251719.0,78.04878048780488,2.4390243902439024,19.51219512195122,59100000.0
Biotechnology | USA | 2000-2004,439,3450000.0,17400000.0,59259535.5,66.97038724373576,5.694760820045558,27.33485193621868,56258250.0
Biotechnology | USA | 2005-2009,863,1626322.0,7265271.0,36114500.0,79.95365005793744,4.5191193511008105,15.52723059096176,62659030.5
Biotechnology | USA | 2010-2014,612,750000.0,3045000.0,15000000.0,89.86928104575163,1.7973856209150325,8.333333333333332,37000000.0
Biotechnology | USA | Before 2000,383,3627500.0,13714382.0,43500000.0,54.04699738903395,6.527415143603134,39.425587467362924,35000000.0
Business Services | USA | Before 2000,32,9500000.0,17899410.5,48075000.0,40.625,3.125,56.25,20699410.5
Clean Technology | USA | 2000-2004,96,3744795.5,24150000.0,69300000.0,78.125,4.166666666666666,17.708333333333336,105050000.0
Clean Technology | USA | 2005-2009,265,3000000.0,14000000.0,44500000.0,76.22641509433963,11.320754716981133,12.452830188679245,28800000.0
Clean Technology | USA | 2010-2014,116,136250.0,984500.0,6000000.0,91.37931034482759,2.586206896551724,6.0344827586206895,10918691.0
Clean Technology | USA | Before 2000,66,5954667.25,19730000.0,50000000.0,63.63636363636363,10.606060606060606,25.757575757575758,44500000.0
Cloud Computing | USA | 2005-2009,102,2000000.0,11300000.0,38975000.0,59.80392156862745,12.745098039215685,27.450980392156865,13646163.5
Cloud Computing | USA | 2010-2014,145,983000.0,2500000.0,10900000.0,82.75862068965517,2.7586206896551726,14.482758620689657,5550000.0
Collaboration | USA | 2005-2009,48,1192499.75,3850000.0,12625000.0,70.83333333333334,10.416666666666668,18.75,2939581.0
Collaboration | USA | 2010-2014,74,171000.0,875000.0,4512500.0,89.1891891891892,1.3513513513513513,9.45945945945946,1000000.0
Consulting | USA | Before 2000,58,1605991.75,10025000.0,30000000.0,58.620689655172406,5.172413793103448,36.206896551724135,14000000.0
Consumer Electronics | USA | 2010-2014,104,185625.0,1000000.0,4262518.0,89.42307692307693,4.807692307692308,5.769230769230769,10585244.5
Content | USA | 2010-2014,70,209250.0,1000000.0,4075000.0,88.57142857142857,4.285714285714286,7.142857142857142,4500000.0
Crowdsourcing | USA | 2010-2014,53,120000.0,880000.0,3000000.0,83.01886792452831,7.547169811320755,9.433962264150944,1010000.0
Curated Web | USA | 2000-2004,68,3875000.0,9200000.0,19288750.0,48.529411764705884,17.647058823529413,33.82352941176471,17393712.0
Curated Web | USA | 2005-2009,364,424375.0,1875000.0,6768862.75,51.64835164835166,27.472527472527474,20.87912087912088,2725000.0
Curated Web | USA | 2010-2014,448,200000.0,862500.0,3000000.0,75.66964285714286,12.276785714285714,12.053571428571429,1445375.0
Curated Web | USA | Before 2000,46,4400000.0,9000000.0,37840250.0,60.86956521739131,6.521739130434782,32.608695652173914,23598258.0
E-Commerce | USA | 2000-2004,58,2330338.5,10000000.0,24927925.5,77.58620689655173,3.4482758620689653,18.96551724137931,14500000.0
E-Commerce | USA | 2005-2009,174,750000.0,3225000.0,15450465.0,70.6896551724138,15.517241379310345,13.793103448275861,10100000.0
E-Commerce | USA | 2010-2014,544,173750.0,837500.0,3000000.0,85.66176470588235,7.904411764705882,6.4338235294117645,1750000.0
E-Commerce | USA | Before 2000,84,3775000.0,16168949.5,45000000.0,57.14285714285714,3.571428571428571,39.285714285714285,20000000.0
Education | USA | 2005-2009,77,400000.0,2400000.0,10200000.0,77.92207792207793,7.792207792207792,14.285714285714285,4200000.0
Education | USA | 2010-2014,234,100000.0,541500.0,2362500.0,91.45299145299145,3.418803418803419,5.128205128205128,1851500.0
Education | USA | Before 2000,76,1475000.0,6200000.0,19587500.0,92.10526315789474,0.0,7.894736842105263,30000000.0
Enterprise Software | USA | 2000-2004,153,6500000.0,19100000.0,36518951.0,49.673202614379086,6.535947712418301,43.790849673202615,22200000.0
Enterprise Software | USA | 2005-2009,237,2350000.0,10800000.0,32900000.0,71.30801687763713,7.59493670886076,21.09704641350211,11472000.0
Enterprise Software | USA | 2010-2014,256,650000.0,2219027.5,8637498.75,85.15625,5.46875,9.375,4212500.0
Enterprise Software | USA | Before 2000,100,5000000.0,11750000.0,31325000.0,55.00000000000001,1.0,44.0,11750000.0
Entertainment | USA | 2005-2009,34,173839.5,3852497.5,13000000.0,64.70588235294117,11.76470588235294,23.52941176470588,12500000.0
Finance | USA | 2000-2004,44,3900000.0,11368151.5,23196568.5,72.72727272727273,9.090909090909092,18.181818181818183,17800000.0
Finance | USA | 2005-2009,116,508125.25,3647506.0,19100000.0,74.13793103448276,13.793103448275861,12.068965517241379,9750000.0
Finance | USA | 2010-2014,195,471500.0,2312413.0,9050000.0,89.23076923076924,3.076923076923077,7.6923076923076925,3700000.0
Finance | USA | Before 2000,50,4000000.0,10000000.0,33000000.0,64.0,6.0,30.0,12000000.0
Games | USA | 2000-2004,46,5994846.5,16000000.0,36000000.0,52.17391304347826,10.869565217391305,36.95652173913043,27500000.0
Games | USA | 2005-2009,166,1000000.0,3500000.0,10887500.0,63.25301204819277,15.66265060240964,21.084337349397593,9000000.0
Games | USA | 2010-2014,177,152000.0,950000.0,5000000.0,84.7457627118644,9.03954802259887,6.214689265536723,3000000.0
Hardware + Software | USA | 2000-2004,122,2000200.0,9350000.0,26949386.5,64.75409836065575,10.655737704918032,24.59016393442623,18260000.0
Hardware + Software | USA | 2005-2009,204,521250.0,3037500.0,14479505.0,84.80392156862744,8.823529411764707,6.372549019607843,7760000.0
Hardware + Software | USA | 2010-2014,168,390250.0,1704375.0,6100000.0,91.66666666666666,4.761904761904762,3.571428571428571,8672497.0
Hardware + Software | USA | Before 2000,89,2807000.0,8333309.0,26590000.0,55.0561797752809,2.247191011235955,42.69662921348314,19345000.0
Health Care | USA | 2000-2004,145,6225932.0,21376001.0,49761910.0,66.89655172413794,5.517241379310345,27.586206896551722,30000000.0
Health Care | USA | 2005-2009,209,2290612.0,14710004.0,46922681.0,79.42583732057416,9.090909090909092,11.483253588516746,51577293.5
Health Care | USA | Before 2000,89,7200000.0,19378591.0,51000000.0,56.17977528089888,6.741573033707865,37.07865168539326,30000000.0
Health and Wellness | USA | 2005-2009,161,677000.0,2805480.0,11000000.0,90.06211180124224,3.1055900621118013,6.832298136645963,4950000.0
Health and Wellness | USA | 2010-2014,307,346000.0,1359620.0,4938253.0,94.78827361563518,2.2801302931596092,2.9315960912052117,4099999.0
Health and Wellness | USA | Before 2000,88,995000.0,3037385.0,22953316.25,77.27272727272727,3.4090909090909087,19.318181818181817,23750000.0
Manufacturing | USA | 2000-2004,60,1679250.0,11244217.5,31650000.0,80.0,3.3333333333333335,16.666666666666664,37711897.5
Manufacturing | USA | 2005-2009,85,667283.0,3429998.0,19999999.0,85.88235294117646,8.235294117647058,5.88235294117647,19999999.0
Manufacturing | USA | Before 2000,65,1039556.0,7800000.0,21000000.0,75.38461538461539,9.230769230769232,15.384615384615385,12210000.0
Messaging | USA | 2005-2009,51,600000.0,2000000.0,10950000.0,56.86274509803921,15.686274509803921,27.450980392156865,6350000.0
Mobile | USA | 2000-2004,93,10257000.0,17300000.0,40300000.0,41.935483870967744,12.903225806451612,45.16129032258064,22250000.0
Mobile | USA | 2005-2009,188,1127500.0,5000000.0,17002287.5,65.42553191489363,16.48936170212766,18.085106382978726,6250000.0
Mobile | USA | 2010-2014,389,325000.0,1600000.0,5824998.0,83.80462724935732,6.940874035989718,9.254498714652955,3837500.0
Mobile | USA | Before 2000,65,5330000.0,10732800.0,29620000.0,56.92307692307692,6.153846153846154,36.92307692307693,27644987.0
Music | USA | 2005-2009,30,288750.0,3697290.5,12708404.5,66.66666666666666,16.666666666666664,16.666666666666664,6700000.0
News | USA | 2005-2009,44,740000.0,3150000.0,13237500.0,70.45454545454545,9.090909090909092,20.454545454545457,12650000.0
Real Estate | USA | 2005-2009,38,430250.0,2700000.0,11500000.0,81.57894736842105,0.0,18.421052631578945,17100000.0
Security | USA | 2000-2004,73,7400000.0,19000000.0,34850000.0,43.83561643835616,9.58904109589041,46.57534246575342,22640000.0
Security | USA | 2005-2009,65,1227795.0,6549170.0,25518015.0,72.3076923076923,9.230769230769232,18.461538461538463,20202247.0
Security | USA | 2010-2014,54,548126.5,3622500.0,15500000.0,85.18518518518519,1.8518518518518516,12.962962962962962,4575400.0
Security | USA | Before 2000,36,12279455.25,24606502.5,41525000.0,36.11111111111111,5.555555555555555,58.333333333333336,30000000.0
Semiconductors | USA | 2000-2004,117,10000000.0,24150000.0,45795665.0,47.008547008547005,9.401709401709402,43.58974358974359,30000000.0
Semiconductors | USA | 2005-2009,59,5050000.0,15331225.0,41559074.0,69.49152542372882,6.779661016949152,23.728813559322035,39250000.0
Semiconductors | USA | Before 2000,59,10000000.0,20000000.0,44159969.5,47.45762711864407,8.47457627118644,44.06779661016949,23500000.0
Social Media | USA | 2005-2009,53,750000.0,1420000.0,5000000.0,52.83018867924528,24.528301886792452,22.641509433962266,5000000.0
Social Media | USA | 2010-2014,105,100000.0,700000.0,2000000.0,76.19047619047619,15.238095238095239,8.571428571428571,3000000.0
Software | CAN | 2000-2004,31,3250000.0,6847759.94995528,12433000.0,77.41935483870968,3.225806451612903,19.35483870967742,1943500.0
Software | FRA | 2000-2004,44,2512500.0,4080000.0,8167500.0,70.45454545454545,9.090909090909092,20.454545454545457,4200000.0
Software | GBR | 2000-2004,41,1265400.0,4000000.0,16845651.0,73.17073170731707,12.195121951219512,14.634146341463413,27000000.0
Software | USA | 2000-2004,415,2500000.0,8025000.0,18408278.0,60.722891566265055,8.91566265060241,30.361445783132528,11000000.0
Software | USA | 2005-2009,509,568000.0,2854130.0,9750000.0,80.55009823182712,9.037328094302556,10.412573673870334,11655000.0
Software | USA | 2010-2014,701,250000.0,1150000.0,3575000.0,90.87018544935806,3.9942938659058487,5.1355206847360915,2550000.0
Software | USA | Before 2000,387,3000000.0,9800000.0,24000000.0,53.746770025839794,5.426356589147287,40.82687338501292,15000000.0
Web Hosting | USA | 2000-2004,78,8462500.0,28213009.0,49000000.0,39.743589743589745,11.538461538461538,48.717948717948715,37500000.0
Web Hosting | USA | Before 2000,41,16000000.0,39700000.0,57400000.0,51.21951219512195,2.4390243902439024,46.34146341463415,40000000.0
